Reservation_ID,Odo_Start,Odo_End,Fuel_Level,GPS_Lat,GPS_Lon,Max_Speed_kmh,Harsh_Events,Damage_Flag
RES-01753,"19,954 km",20427km,0.16,24.1828,81.0447,142 kmh,5,0
RES-01754,83222km,"84,519km",8 %,15.86,82.67,155 kmh,2,1
RES-01755,54446,54857km,0.9,17.6085,87.3069,152 kmh,4,0
RES-01756,43856,"45,028km",0.8,22.6324,77.319654,126 kmh,0,1
RES-01757,101104,102001km,20 %,15.9,72.5687,137 kmh,6,0
RES-01758,"42,984km","43,241 km",0.9,18.3452,87.05,51,1,0
RES-01759,102660,"103,767 km",44%,22.75,76.7906,75,5,0
RES-01760,"75,152 km","76,605 km",0.71,18.8,76.3702,52,6,0
RES-01761,"47,513 km",49310,0.55,19.0371,79.076102,45,6,0
RES-01762,9527,9036,81 %,26.5038,84.704,175 kmh,4,0
RES-01763,"55,336km","56,470 km",55%,26.8403,84.1849,54,6,1
RES-01764,31599,"31,961km",1.0,12.518472,82.097965,74,3,0
RES-01765,105621,"107,279km",0.50,15.93,84.113795,89,4,0
RES-01766,6162km,6123,0.4,16.6018,73.804611,125 kmh,4,0
RES-01767,"106,474km",106910km,33%,22.95,85.0507,76,3,0
RES-01768,51408,51807km,25 %,14.27,72.1377,121 kmh,4,0
RES-01769,"31,674 km",31458,48%,12.29,82.501477,122 kmh,3,1
RES-01770,104378km,105142km,48 %,18.2047,82.751613,139 kmh,4,1
RES-01771,"5,933km",7203km,26%,22.532509,85.6397,121 kmh,3,0
RES-01772,"38,589 km",39537km,0.79,17.055667,79.09,69,3,0
RES-01773,"64,271 km","64,842 km",0.16,14.567646,76.0109,153 kmh,0,0
RES-01774,27748,28843,25 %,24.33,78.94,140 kmh,5,0
RES-01775,113148,113543km,0.1,23.16,78.54829,40,2,0
RES-01776,"109,856 km",109966km,85 %,26.7134,78.340411,47,1,0
RES-01777,5600km,"6,648km",0.84,19.599473,82.92,146 kmh,1,1
RES-01778,91308km,"91,649 km",40 %,17.75,84.521,177 kmh,5,1
RES-01779,42332km,"42,449 km",0.2,27.7461,72.354864,147 kmh,4,0
RES-01780,"20,816 km",21048,6%,14.44373,82.067235,133 kmh,5,0
RES-01781,7164km,7571,44 %,21.156655,80.217231,61,6,0
RES-01782,"33,545 km","35,089km",77 %,15.2697,77.3,173 kmh,1,0
RES-01783,9972,11549km,28 %,24.471001,86.4742,84,1,1
RES-01784,8723km,9839,0.63,23.92,76.71,147 kmh,6,1
RES-01785,"37,781 km","38,417 km",0.83,26.237994,84.53,52,0,0
RES-01786,"12,958km","14,519 km",0.4,27.850041,76.9096,176 kmh,1,0
RES-01787,30381,31882,0.23,14.5925,81.86,65,4,0
RES-01788,74295,"75,974km",0.73,17.550921,84.566665,58,5,0
RES-01789,55887km,"57,173 km",54%,12.02,73.6272,160 kmh,0,1
RES-01790,75313km,"77,241 km",26%,23.0383,75.9,63,6,1
RES-01791,119811,"120,133km",0.90,23.9505,75.77,173 kmh,4,0
RES-01792,"66,365 km","66,839 km",99%,14.58,74.3779,46,3,0
RES-01793,"32,164 km","32,438km",0.24,19.139222,76.11,76,1,0
RES-01794,61339km,"62,830km",46%,25.192577,80.670188,166 kmh,1,0
RES-01795,65977km,67872,0.22,14.2331,81.52,135 kmh,4,0
RES-01796,"72,939 km","73,564km",0.49,15.278935,79.831593,123 kmh,3,1
RES-01797,"11,208km",13016km,0.3,15.8527,80.61,160 kmh,0,1
RES-01798,93706km,93754,88%,13.168258,73.4894,91,2,0
RES-01799,35173,"35,738 km",60 %,27.88,85.17,121 kmh,1,0
RES-01800,"69,328 km",70753,32%,12.708832,74.047154,176 kmh,0,1
RES-01801,"114,506km",114929km,78%,23.2347,84.3836,70,3,0
RES-01802,82052km,83665,23%,22.359025,84.9564,164 kmh,1,0
RES-01803,44898km,45433,0.43,13.460394,82.067508,141 kmh,0,0
RES-01804,"96,449km",96635km,0.32,15.0275,79.199565,92,6,0
RES-01805,"75,878km",77529km,21%,21.45,75.96,61,4,1
RES-01806,67815,69079km,0.51,22.4759,81.364309,134 kmh,3,0
RES-01807,105563km,"107,518km",37 %,12.86,73.11446,43,0,1
RES-01808,"36,389km",37523,0.9,27.580146,77.526851,133 kmh,1,0
RES-01809,87629km,88313,76 %,23.482612,85.87,40,0,0
RES-01810,"40,954 km","40,973km",84 %,25.318984,82.8794,78,2,1
RES-01811,"32,507km",33812,33%,22.2,84.0814,179 kmh,4,0
RES-01812,51740km,"52,647 km",79%,27.55,84.8073,149 kmh,2,0
RES-01813,"13,891km",14721km,0.68,15.5013,83.229835,162 kmh,3,0
RES-01814,"33,527 km","33,575km",45%,14.89,87.43,137 kmh,2,0
RES-01815,"52,849 km",53494km,0.7,17.465112,83.98,167 kmh,4,0
RES-01816,56790km,"58,721 km",0.85,13.233733,85.25,52,0,0
RES-01817,"19,162 km","21,136 km",0.7,17.12,80.8389,136 kmh,6,1
RES-01818,"111,596 km",112918km,0.70,21.348911,86.72,154 kmh,4,0
RES-01819,21740,"22,275 km",0.78,26.8225,85.19632,87,5,0
RES-01820,84647,"85,894 km",39 %,25.9023,76.514364,140 kmh,2,1
RES-01821,"83,442 km","84,270 km",0.5,20.14,79.8834,145 kmh,5,0
RES-01822,89659km,"90,473 km",72%,12.124813,75.129568,50,2,0
RES-01823,50699km,51531,59 %,17.2813,86.960607,95,2,0
RES-01824,93977,94699,0.76,24.691318,75.86,134 kmh,2,0
RES-01825,53410,"54,785km",0.7,20.6455,76.1,150 kmh,4,0
RES-01826,"115,029 km",115071,0.2,21.1,73.8341,172 kmh,3,1
RES-01827,"106,800km","108,530 km",0.92,25.6771,85.16,80,5,0
RES-01828,110496km,"111,316 km",69 %,14.976,86.471939,75,1,0
RES-01829,110852,111064km,70%,26.672249,86.810046,82,0,0
RES-01830,64472,65393km,0.5,23.686805,75.3957,59,5,1
RES-01831,"35,821km","37,335km",0.49,17.87,81.76,146 kmh,1,0
RES-01832,98154,"98,947 km",28 %,12.4235,85.439748,174 kmh,5,0
RES-01833,"30,251km","31,632 km",24 %,27.602,84.557229,83,6,0
RES-01834,"52,644 km","52,399km",0.50,15.82,79.8534,130 kmh,6,0
RES-01835,"22,086km",23148km,40 %,24.36,80.78,95,3,0
RES-01836,"57,405km",58130km,0.19,17.542169,81.964981,82,1,1
RES-01837,"85,910km","87,803km",80 %,21.15,72.2,128 kmh,0,0
RES-01838,"83,688km","84,057km",5%,12.614414,72.89,46,2,1
RES-01839,"13,302km",14139km,7 %,13.2506,74.23,177 kmh,3,0
RES-01840,"97,545km",98468,0.48,20.2648,77.4053,72,4,0
RES-01841,"101,683 km","103,611 km",62%,23.568859,83.993017,173 kmh,6,0
RES-01842,7362,"7,688 km",0.70,16.68,72.54,125 kmh,0,0
RES-01843,25104,"27,067km",43 %,16.76,84.1067,159 kmh,1,0
RES-01844,57083,"57,054km",42%,19.53,78.88,50,2,0
RES-01845,"46,456km",47198,51%,25.55,83.69,55,3,0
RES-01846,21991,22924,33%,22.48,78.56,85,3,0
RES-01847,117283,117525,88%,16.008696,80.91,91,1,0
RES-01848,19800km,20204km,0.27,24.1504,83.456485,69,2,0
RES-01849,"82,489km","84,356 km",1.0,26.9367,77.229983,66,1,0
RES-01850,"70,674 km","71,156 km",93 %,15.6448,73.568212,171 kmh,3,1
RES-01851,"37,009 km","37,487km",0.7,17.39,87.7834,121 kmh,0,0
RES-01852,117293km,"116,830 km",0.92,18.784377,74.213655,59,3,0
RES-01853,77935,79889km,28 %,15.9696,83.29,120 kmh,5,0
RES-01854,119768,"120,006 km",41%,18.800119,85.8617,150 kmh,0,0
RES-01855,"28,479 km",30068km,94%,15.17,75.321632,75,0,0
RES-01856,"71,267km","72,951 km",28%,23.0439,76.7351,132 kmh,6,0
RES-01857,"11,813 km","11,928km",26 %,27.1,78.33,177 kmh,1,0
RES-01858,74389,74846,13%,19.682782,78.59,165 kmh,4,1
RES-01859,57686,59609,13 %,17.66,74.8438,41,0,0
RES-01860,107911,109190km,20%,27.87,86.1604,120 kmh,2,0
RES-01861,88190km,89033km,0.2,13.48,73.61889,92,0,1
RES-01862,118767km,"119,773 km",0.55,26.416075,72.318724,55,3,0
RES-01863,"98,285 km","99,799 km",0.3,17.8311,75.42967,77,4,1
RES-01864,17168,18944km,0.5,19.99,73.1042,154 kmh,2,1
RES-01865,54756km,55518km,0.1,13.11,73.84,166 kmh,0,0
RES-01866,110371,110689,0.6,23.74,78.0912,81,3,0
RES-01867,"27,670km","27,878km",0.5,25.36,75.12,138 kmh,0,0
RES-01868,"95,855 km","96,256km",84 %,15.03,83.747,153 kmh,2,0
RES-01869,"94,680km",94753,0.8,23.446,76.7887,131 kmh,1,0
RES-01870,"71,648 km",72615km,0.79,27.34,79.947841,139 kmh,6,0
RES-01871,117785,"118,650 km",41 %,27.283275,77.859483,135 kmh,5,0
RES-01872,38761,"39,291km",0.45,24.471,85.75,164 kmh,3,0
RES-01873,32415,32347km,0.4,19.27888,76.51,125 kmh,4,1
RES-01874,49096,"50,412km",94 %,23.59,85.973171,100,1,0
RES-01875,106518,"106,877 km",0.2,12.621755,83.96,142 kmh,3,0
RES-01876,"80,421 km",80839,0.99,27.12,76.9307,83,4,0
RES-01877,95942km,"97,891km",34%,14.272263,83.7118,180 kmh,6,1
RES-01878,72733km,72919,0.9,15.09507,86.998848,128 kmh,5,0
RES-01879,"44,406 km","45,489 km",0.50,14.48,80.1,59,1,0
RES-01880,"96,770km",98243,86%,20.769842,81.319094,55,1,0
RES-01881,"68,189 km","69,979 km",8%,19.104767,83.787799,130 kmh,5,1
RES-01882,110843km,"111,797 km",0.14,13.8495,87.787049,171 kmh,6,1
RES-01883,78153km,"79,826km",0.51,17.0408,73.74,170 kmh,6,0
RES-01884,91315km,92232,0.53,23.270476,75.653644,87,3,0
RES-01885,52901,54393,0.2,27.2546,80.906009,52,2,0
RES-01886,46738,47098km,54 %,17.8556,84.39,173 kmh,4,0
RES-01887,"22,235km",23327,0.79,15.95,83.269,74,5,0
RES-01888,"89,632km","89,673 km",21 %,18.7506,74.4,82,3,0
RES-01889,"74,976km",74577,75%,18.753923,74.1635,81,2,0
RES-01890,"92,623km",94578km,80 %,13.161579,83.89,53,5,0
RES-01891,"78,082km",79004km,87%,22.065198,86.105049,74,6,1
RES-01892,"58,970km","60,008km",0.80,23.826108,84.8105,172 kmh,5,0
RES-01893,81304,82247km,59%,23.0,86.73,145 kmh,6,0
RES-01894,107903,109109km,0.8,26.77,78.5702,51,4,0
RES-01895,"119,020km",119162,0.9,14.3,84.81,131 kmh,1,0
RES-01896,5259,"6,354 km",32%,24.36,80.524303,70,5,0
RES-01897,100127,101381,25 %,16.752,82.6516,145 kmh,6,0
RES-01898,"68,974 km",68482,0.66,12.6213,79.658052,174 kmh,5,0
RES-01899,"68,326km",68756km,70 %,12.62,76.9,60,0,0
RES-01900,"92,971km",93656km,83%,23.6936,72.226319,156 kmh,1,0
RES-01901,17551,18621,0.25,19.764601,72.42,137 kmh,0,1
RES-01902,47106,48575km,6 %,13.3842,79.0813,97,0,1
RES-01903,5163km,"5,621 km",65 %,24.2526,75.3878,64,3,1
RES-01904,106186,"107,244 km",41%,12.083555,81.481608,55,1,0
RES-01905,23033km,23664,0.6,14.840905,81.9322,142 kmh,2,1
RES-01906,"75,952km","77,168km",0.86,15.33,78.828823,61,6,0
RES-01907,"72,189 km",73380,0.34,12.238717,81.805,59,2,0
RES-01908,13158,15095,0.8,15.617146,86.26,180 kmh,3,0
RES-01909,96724,"96,883 km",0.7,20.542877,72.388954,98,6,0
RES-01910,91429km,92723,87%,24.1501,87.52,120 kmh,4,0
RES-01911,"22,281 km","23,952km",0.18,19.88,79.835826,164 kmh,3,0
RES-01912,14660km,"16,653km",0.25,26.071834,86.63,164 kmh,3,1
RES-01913,"8,610km","10,531km",0.2,19.06,79.385665,44,0,0
RES-01914,65936km,66284,23 %,25.494386,76.353489,62,2,0
RES-01915,"79,857km",80151km,40 %,26.3,80.614963,134 kmh,6,0
RES-01916,73842,75723,0.43,12.605374,77.7034,64,4,0
RES-01917,"98,744km","99,746km",0.20,23.4922,77.0515,78,3,0
RES-01918,80842km,"81,642km",0.5,19.57,84.2335,144 kmh,3,1
RES-01919,"81,473 km","82,752km",33 %,17.925115,75.519,64,1,0
RES-01920,"12,529 km",13590km,0.5,14.410433,85.423017,176 kmh,2,0
RES-01921,88255km,"89,987 km",88 %,17.49,82.62,50,6,1
RES-01922,88218,88765km,60 %,16.1708,72.3,65,0,0
RES-01923,"55,624 km",56593,17%,14.2059,87.2538,59,2,0
RES-01924,114026km,115587,72 %,22.3945,74.9266,55,5,0
RES-01925,112370,"113,713 km",0.16,14.2,81.3484,167 kmh,0,0
RES-01926,"83,460km","83,513km",92%,13.06,78.21,157 kmh,2,0
RES-01927,"24,033km",25150km,72%,22.0392,74.0413,95,5,0
RES-01928,82964km,"83,601 km",0.39,27.91,72.29,99,4,0
RES-01929,18413km,"19,635km",0.50,15.825666,80.698599,89,6,0
RES-01930,"36,527km",38517km,82 %,13.9371,80.4,42,2,0
RES-01931,"105,950km",107697km,40%,14.834086,74.24,126 kmh,2,1
RES-01932,66857,68760,0.26,21.1109,73.678142,69,2,0
RES-01933,69758km,70590,0.54,13.33,75.633756,95,1,0
RES-01934,31176km,"31,372 km",0.39,21.945718,85.349461,79,5,0
RES-01935,"22,739 km",23515km,0.29,12.79,81.0254,99,6,0
RES-01936,115289km,115329,14 %,12.860116,73.2373,50,4,1
RES-01937,"53,694 km",53207km,0.35,19.384052,82.3791,92,3,0
RES-01938,70132,71137,0.8,26.063691,87.8927,164 kmh,5,0
RES-01939,115875km,"117,549 km",36%,27.73,73.885436,166 kmh,1,0
RES-01940,77403km,"79,097 km",0.43,14.92,83.9078,86,5,0
RES-01941,"106,268 km","106,382km",0.1,15.93,87.569646,142 kmh,4,0
RES-01942,34552km,"34,461km",0.90,20.4753,77.74,72,4,0
RES-01943,13487,14445,0.4,19.182,85.162314,179 kmh,1,0
RES-01944,"42,517km",43608,76 %,13.69,82.2148,65,4,0
RES-01945,"66,611 km",66564km,22%,27.43,81.56,58,0,0
RES-01946,"28,393km",29279km,0.4,21.9144,78.944675,44,1,0
RES-01947,"99,398km","99,641km",17 %,20.578914,86.0975,158 kmh,1,0
RES-01948,"116,027 km","116,845 km",0.75,27.76,81.849957,135 kmh,3,0
RES-01949,29147,"30,769km",0.44,24.59,72.504376,172 kmh,5,0
RES-01950,115552,"116,694km",1.0,13.349659,85.174,81,2,1
RES-01951,42397km,43458,0.2,18.128591,73.3088,144 kmh,2,0
RES-01952,34794,36028,0.53,13.32,79.85,155 kmh,4,1
RES-01953,58193,"59,565km",89 %,20.56,87.6565,44,4,1
RES-01954,"65,024km","66,652km",36 %,18.432339,83.171525,62,5,0
RES-01955,113054,114870km,0.42,16.020083,74.10434,144 kmh,5,1
RES-01956,"52,493 km","53,775 km",20 %,20.98,85.73,145 kmh,2,0
RES-01957,"29,649km","30,460 km",28 %,14.4767,73.6252,98,0,0
RES-01958,36268km,37297km,0.29,27.35,77.3351,134 kmh,3,0
RES-01959,87342,"88,499 km",87 %,27.144255,80.4799,169 kmh,2,0
RES-01960,72389,"74,133km",0.5,19.8864,72.814635,146 kmh,0,0
RES-01961,112537km,"113,421km",0.48,20.6123,86.0685,178 kmh,4,0
RES-01962,60294,60402km,68 %,18.7689,82.88,86,2,0
RES-01963,77709km,"78,728km",0.3,21.216039,75.25,79,1,0
RES-01964,67408,67944,63%,20.4411,79.17,66,4,1
RES-01965,"69,421 km","71,191km",0.53,21.78,84.515,157 kmh,3,0
RES-01966,40909,42305,55%,27.980833,86.05,129 kmh,1,0
RES-01967,"77,361 km",78474km,0.93,19.817256,83.9645,50,2,0
RES-01968,"109,371 km","111,025 km",66 %,12.46,75.024766,77,5,0
RES-01969,5197km,"6,754 km",28%,19.330596,86.505101,178 kmh,0,0
RES-01970,94629,95736km,82%,14.7666,79.9507,146 kmh,4,0
RES-01971,"20,454 km",22362km,88%,27.9088,77.92,50,4,1
RES-01972,101702km,"102,999km",0.60,14.867064,85.3802,144 kmh,6,0
RES-01973,9179km,"10,937km",0.93,22.1545,78.688681,94,3,0
RES-01974,115916km,"117,596km",80 %,26.6,72.1112,157 kmh,5,0
RES-01975,"117,989km","118,571km",44%,12.080062,87.339842,52,1,0
RES-01976,41064km,"42,897 km",27 %,22.1199,85.655024,149 kmh,5,0
RES-01977,19844,"21,555 km",0.18,18.25895,80.6093,60,4,0
RES-01978,24295km,25933,0.3,14.79,82.314,76,0,0
RES-01979,"39,578 km","40,324 km",0.2,26.59917,81.35,54,3,0
RES-01980,"44,599km",45636km,8 %,21.201017,78.089387,51,4,0
RES-01981,"104,631 km",105203,75%,21.917165,72.1,51,3,0
RES-01982,117667km,118347km,33 %,17.936,78.77403,180 kmh,6,1
RES-01983,"24,044 km","25,731 km",0.29,27.91,79.033,95,2,0
RES-01984,"5,536km",7157,0.09,24.22,77.7381,145 kmh,1,0
RES-01985,100116km,"101,058 km",0.8,17.514738,72.02,77,0,0
RES-01986,"39,701km","39,799km",0.2,20.313037,76.610526,179 kmh,1,0
RES-01987,92226km,92643km,52 %,21.21,77.5618,86,0,0
RES-01988,54973km,54985km,62%,23.9966,74.2298,53,6,0
RES-01989,"25,318 km","27,008 km",18%,19.464683,82.5768,54,1,0
RES-01990,"68,284km",69683,40 %,20.23,84.5554,72,0,0
RES-01991,87420km,"87,607km",95%,13.9129,81.847819,143 kmh,4,0
RES-01992,"5,506 km","6,536 km",0.38,26.78,75.3605,121 kmh,2,1
RES-01993,28721,"29,554 km",26 %,24.0949,80.0832,93,3,0
RES-01994,"89,002km","90,910 km",55%,23.07,73.870654,139 kmh,6,0
RES-01995,"89,361 km",89595km,0.98,23.9,79.74,131 kmh,6,0
RES-01996,95673km,96342km,83 %,25.91,87.39,148 kmh,6,0
RES-01997,21461,"22,612 km",7 %,23.8883,79.77,98,2,0
RES-01998,107521,"108,838km",0.8,14.65,74.042956,120 kmh,5,0
RES-01999,18885km,20475km,53 %,18.41,72.031084,121 kmh,3,0
RES-02000,"13,641 km","15,231km",0.7,12.961877,72.483301,76,4,0
RES-02001,"106,478km",106879km,47 %,14.95,73.9432,171 kmh,5,0
RES-02002,"81,420 km",82688,6%,25.491,87.9804,93,1,0
RES-02003,"104,956 km",104933,39 %,23.081656,85.34252,95,4,0
RES-02004,"40,239 km","41,704km",0.5,15.94,72.18665,121 kmh,5,0
RES-02005,23116km,"23,992 km",0.76,12.97,72.709298,139 kmh,3,1
RES-02006,33085,34213km,8%,27.546137,87.6994,88,1,0
RES-02007,"47,716km",49510,56 %,26.52,82.9983,62,2,0
RES-02008,69861,"71,229 km",77%,14.8,80.87025,140 kmh,5,0
RES-02009,"76,146 km","77,623 km",0.1,15.194081,81.736047,152 kmh,5,1
RES-02010,"28,269 km",28505,11%,19.1801,85.752648,50,2,0
RES-02011,100884km,"101,816km",1.0,20.529749,75.61,77,6,0
RES-02012,"70,560 km","70,673 km",24%,16.01,74.06,79,4,1
RES-02013,"46,592 km",47026km,0.1,15.48,77.344311,42,3,0
RES-02014,"82,458 km",82515km,0.4,12.11,76.450925,136 kmh,0,0
RES-02015,"27,685km","29,186km",0.59,15.806878,83.89,177 kmh,2,0
RES-02016,"43,104km","44,742 km",9 %,23.2319,85.55653,49,6,0
RES-02017,"94,832km",95852km,0.3,23.0081,80.97,62,4,0
RES-02018,110937,112540,0.69,17.36,81.6147,138 kmh,2,1
RES-02019,"59,896km","60,242 km",0.1,27.13,87.4,78,3,1
RES-02020,"51,256km",53183km,0.56,22.45,84.096548,79,1,0
RES-02021,85421,"86,047km",50 %,23.99,78.605304,85,6,0
RES-02022,"66,311 km",67566,38%,24.02,79.45,81,3,0
RES-02023,76380,76917km,0.9,23.1185,81.203008,63,1,0
RES-02024,"90,189 km",90620,0.5,24.87,83.2728,162 kmh,1,0
RES-02025,"31,147km",32230,0.1,13.1389,80.076861,147 kmh,4,0
RES-02026,"70,864 km","72,064 km",10%,16.63,86.05,138 kmh,2,0
RES-02027,72762km,73858,0.2,22.6373,79.24,171 kmh,5,0
RES-02028,"88,906km","89,021 km",76%,23.75,84.108057,125 kmh,4,0
RES-02029,14790km,"15,576km",0.32,12.3091,74.06,52,2,0
RES-02030,"99,368km",99389km,0.22,16.32,73.88,161 kmh,4,1
RES-02031,"53,011 km","53,417 km",0.2,15.476069,80.2959,155 kmh,6,1
RES-02032,"114,519 km",115190km,0.92,26.734015,84.8122,49,1,1
RES-02033,42170,42362,25 %,17.83,79.5,42,5,0
RES-02034,53638,54388,0.1,19.681476,74.682244,162 kmh,4,1
RES-02035,57286km,"57,342 km",53%,23.584557,75.0941,92,1,0
RES-02036,70294km,"70,832 km",85 %,20.2611,74.42,164 kmh,3,0
RES-02037,53261,"54,686 km",37 %,14.847874,85.95,143 kmh,6,0
RES-02038,"88,394 km","89,942 km",0.3,25.35,87.04,154 kmh,4,1
RES-02039,"55,938km","56,715 km",0.4,15.2349,82.78,51,0,0
RES-02040,"67,572 km",67999,50%,24.0351,87.434,179 kmh,3,0
RES-02041,"74,209 km",74825km,0.8,17.9295,76.56,42,3,1
RES-02042,"54,415km",56306,0.7,12.54,73.76,126 kmh,6,1
RES-02043,"44,521 km","46,259km",0.1,19.067992,83.11,150 kmh,5,1
RES-02044,"100,037km","102,009km",0.6,27.95,78.6869,154 kmh,2,1
RES-02045,92965,94716km,61 %,25.101489,82.46,81,1,0
RES-02046,"102,042 km","102,891km",14 %,27.44,76.374806,158 kmh,6,1
RES-02047,"15,336km","16,095 km",12%,25.162694,82.12,65,0,0
RES-02048,108005km,108667km,11%,24.14,84.931731,145 kmh,3,0
RES-02049,117394km,118398km,37%,14.53,85.7214,136 kmh,5,0
RES-02050,86920km,88916km,40%,15.753696,83.359698,87,2,0
RES-02051,"51,566km",52756km,28%,21.871773,81.8178,66,2,1
RES-02052,72988km,"73,875 km",0.4,21.654791,82.52,164 kmh,0,0
RES-02053,79244km,"79,408km",28%,24.691036,81.96,60,2,0
RES-02054,25988km,"27,447km",0.74,14.954663,83.8068,45,4,0
RES-02055,"12,194km",12821,0.3,18.63,85.915797,122 kmh,5,0
RES-02056,"119,982 km",121691km,83%,23.263531,72.16,73,6,1
RES-02057,8276km,9096km,0.18,25.327608,78.740111,66,3,0
RES-02058,85054,84829km,0.40,16.305,86.4,180 kmh,1,1
RES-02059,"64,321 km",66087km,0.2,24.19,85.7106,134 kmh,1,0
RES-02060,46964,"48,637km",31 %,14.8837,80.855494,154 kmh,5,0
RES-02061,"80,541 km",80721,0.9,17.54,80.2884,152 kmh,6,0
RES-02062,"42,019km","43,620km",33 %,15.8271,83.637602,168 kmh,0,0
RES-02063,84541km,85547,19 %,25.7322,77.74,93,3,0
RES-02064,34769km,35849,83 %,16.6663,74.78,90,6,0
RES-02065,102205km,"103,305 km",0.3,19.3481,81.19,149 kmh,3,0
RES-02066,33637,35415km,78%,25.941106,80.543992,171 kmh,0,0
RES-02067,"37,802km","39,034 km",0.83,17.623433,84.097569,97,0,0
RES-02068,119825,"121,098km",0.25,14.9731,84.7161,146 kmh,5,1
RES-02069,"56,811 km",58808,97%,26.497716,80.466088,87,3,0
RES-02070,"119,697 km","120,076 km",0.4,15.36,75.26,148 kmh,4,0
RES-02071,"43,009 km","44,815km",0.7,22.5475,82.9503,143 kmh,0,0
RES-02072,"54,526km","56,164 km",0.45,15.82,85.93,172 kmh,0,0
RES-02073,"66,515km","68,188km",0.3,25.67,82.16,56,1,0
RES-02074,"10,828km","11,958 km",0.76,21.2,72.554306,99,1,0
RES-02075,"33,401 km",33655km,0.45,20.644197,76.725629,133 kmh,1,0
RES-02076,106360,"106,977km",0.80,23.94008,78.007478,133 kmh,3,0
RES-02077,38338km,39045km,9 %,17.6327,76.2583,68,2,0
RES-02078,"9,172 km","10,002 km",0.12,15.92,73.8847,47,6,0
RES-02079,111990km,"113,433 km",0.31,14.4163,86.114856,124 kmh,5,1
RES-02080,"79,408km",80948km,0.06,22.904148,80.329108,156 kmh,4,0
RES-02081,91022km,91525,0.86,27.41,84.1837,148 kmh,5,0
RES-02082,117143,117193km,0.81,24.502333,87.97,97,6,0
RES-02083,102805km,104517,0.94,27.531384,87.71,122 kmh,3,1
RES-02084,57285,58966,77%,20.17,84.7073,149 kmh,6,1
RES-02085,"66,616 km",66889,5%,24.6,76.68,74,6,0
RES-02086,"98,088km","98,690km",0.44,16.34,77.77,131 kmh,5,0
RES-02087,"95,905 km",96355km,82 %,13.19,87.0113,178 kmh,1,0
RES-02088,"15,664 km",16022km,11 %,22.85,84.438951,141 kmh,2,0
RES-02089,"66,571km","66,900km",60%,14.687631,84.5185,171 kmh,0,0
RES-02090,93558km,94485,0.74,24.914515,79.98,165 kmh,1,0
RES-02091,88509,"89,477km",56 %,24.2901,81.075674,137 kmh,0,0
RES-02092,106540,107471km,99%,25.1034,75.77,53,2,0
RES-02093,"13,442 km","13,927km",99%,18.587945,72.43,169 kmh,0,1
RES-02094,"91,492km",92521km,33 %,12.5924,74.877275,162 kmh,3,0
RES-02095,"62,862 km","64,574 km",55 %,12.35,86.7181,131 kmh,4,0
RES-02096,75964km,"77,372 km",0.37,22.7072,78.235237,83,0,0
RES-02097,"38,348km",39301,84 %,18.6482,80.02,157 kmh,6,0
RES-02098,99608km,"101,368 km",71 %,23.295796,72.394551,99,1,0
RES-02099,18341km,"18,966 km",12 %,12.034656,83.1733,86,3,0
RES-02100,"26,589 km","27,780 km",17%,18.63,79.365504,42,0,0
RES-02101,13617,"15,092km",0.58,24.18,86.799325,158 kmh,3,0
RES-02102,48817,50743km,79%,22.6508,74.35473,156 kmh,3,0
RES-02103,"110,246 km","111,213km",45%,18.870148,72.274597,53,4,0
RES-02104,83558km,83537km,0.4,17.63,83.6942,165 kmh,5,0
RES-02105,41775km,43047km,62%,15.9147,73.70525,149 kmh,6,0
RES-02106,"71,333km",71546km,0.6,13.73,83.578012,130 kmh,3,0
RES-02107,"21,985km",22368km,61 %,23.717518,85.481196,41,0,0
RES-02108,"74,773 km",74984,0.95,15.48,75.0438,84,5,0
RES-02109,"51,015km",51642km,88 %,25.226206,85.9673,58,3,0
RES-02110,"87,953km","89,660km",0.69,21.4681,86.76,91,0,1
RES-02111,57330,59031km,91 %,19.5,75.34,167 kmh,0,0
RES-02112,"19,179 km",20972km,51 %,22.35,82.5,92,6,0
RES-02113,"96,514km",97139,0.6,12.8588,80.97313,172 kmh,1,0
RES-02114,104491,"106,398 km",20 %,25.136363,78.8374,40,5,0
RES-02115,"10,141km",11299,0.95,13.03,72.0422,121 kmh,2,0
RES-02116,115761,117277km,74%,21.54,86.6046,64,6,0
RES-02117,"23,441km",24639,0.80,16.9701,78.06,174 kmh,4,0
RES-02118,"100,198km","100,947km",19 %,14.5473,75.44,138 kmh,1,0
RES-02119,"27,330 km","27,602 km",97 %,18.1253,72.28,84,3,0
RES-02120,"47,914km",49418,0.23,26.9481,87.23,93,0,0
RES-02121,59075km,60746,21 %,21.01,78.0998,155 kmh,3,0
RES-02122,"47,258km","47,915km",0.4,12.2047,76.97,131 kmh,5,0
RES-02123,28736,"29,289 km",28%,16.9989,74.38,159 kmh,2,1
RES-02124,64525,65849,33 %,15.423641,74.56,147 kmh,5,0
RES-02125,39848,"40,842 km",53 %,17.038,79.789354,47,2,0
RES-02126,72173km,"72,230km",7 %,21.416093,84.6392,150 kmh,3,0
RES-02127,38308km,"39,786 km",46 %,14.4,72.38755,89,2,1
RES-02128,94725km,"96,430km",0.44,21.831872,73.85,132 kmh,6,0
RES-02129,"44,549 km",46464,0.7,16.8393,87.3758,84,5,1
RES-02130,"9,203km",10191,51%,16.149,72.626171,84,5,0
